46591,1,fd00::212:4b00:615:a699,2973657,2973661,0,28240,20,0,1412,a6c1,461,205,-71,2019-05-2617:01:51,2019-05-2617:01:51,90
46590,1,fd00::212:4b00:615:a5ab,2972892,2972896,0,28220,20,0,1411,a6c1,407,144,-60,2019-05-2617:01:43,2019-05-2617:01:43,90
46589,1,fd00::212:4b00:615:a5dd,2972647,2972651,0,28200,20,0,1410,a6c1,388,128,-54,2019-05-2617:01:41,2019-05-2617:01:41,90
46588,1,fd00::212:4b00:615:a6c1,2972588,2972590,0,28240,20,0,1412,a662,260,132,-62,2019-05-2617:01:40,2019-05-2617:01:40,90
46587,1,fd00::212:4b00:615:a6dd,2971827,2971831,0,28240,20,0,1412,a6c1,650,394,-86,2019-05-2617:01:33,2019-05-2617:01:33,90
46586,1,fd00::212:4b00:615:a699,2971668,2971676,0,28220,20,0,1411,a6c1,453,197,-70,2019-05-2617:01:31,2019-05-2617:01:31,90
46585,1,fd00::212:4b00:615:a5ab,2970903,2970907,0,28200,20,0,1410,a6c1,407,151,-60,2019-05-2617:01:23,2019-05-2617:01:23,90
46584,1,fd00::212:4b00:615:a5dd,2970648,2970652,0,28180,20,0,1409,a6c1,384,128,-54,2019-05-2617:01:21,2019-05-2617:01:21,90
46583,1,fd00::212:4b00:615:a6c1,2970597,2970599,0,28220,20,0,1411,a662,256,128,-62,2019-05-2617:01:20,2019-05-2617:01:20,90
46582,1,fd00::212:4b00:615:a6dd,2969832,2969940,0,28220,20,0,1411,a6c1,685,429,-86,2019-05-2617:01:14,2019-05-2617:01:14,90
46581,1,fd00::212:4b00:615:a699,2969642,2969646,0,28200,20,0,1410,a6c1,454,198,-69,2019-05-2617:01:11,2019-05-2617:01:11,90
46579,1,fd00::212:4b00:615:a6dd,2967843,2968830,0,28200,20,0,1410,a6c1,613,357,-86,2019-05-2617:01:03,2019-05-2617:01:03,90
46580,1,fd00::212:4b00:615:a5ab,2968914,2968920,0,28180,20,0,1409,a6c1,424,168,-60,2019-05-2617:01:03,2019-05-2617:01:03,90
46578,1,fd00::212:4b00:615:a5dd,2968659,2968663,0,28160,20,0,1408,a6c1,386,130,-54,2019-05-2617:01:01,2019-05-2617:01:01,90
46577,1,fd00::212:4b00:615:a6c1,2968608,2968610,0,28200,20,0,1410,a662,256,128,-62,2019-05-2617:01:00,2019-05-2617:01:00,90
46576,1,fd00::212:4b00:615:a699,2967645,2967649,0,28180,20,0,1409,a6c1,460,204,-68,2019-05-2617:00:51,2019-05-2617:00:51,90
46575,1,fd00::212:4b00:615:a5ab,2966888,2966892,0,28160,20,0,1408,a6c1,425,169,-60,2019-05-2617:00:43,2019-05-2617:00:43,90
46573,1,fd00::212:4b00:615:a6c1,2966619,2966621,0,28180,20,0,1409,a662,256,128,-62,2019-05-2617:00:41,2019-05-2617:00:41,90
46574,1,fd00::212:4b00:615:a5dd,2966670,2966674,0,28140,20,0,1407,a6c1,388,132,-54,2019-05-2617:00:41,2019-05-2617:00:41,90
46572,1,fd00::212:4b00:615:a6dd,2965854,2965858,0,28180,20,0,1409,a6c1,702,446,-86,2019-05-2617:00:33,2019-05-2617:00:33,90
46571,1,fd00::212:4b00:615:a699,2965650,2965654,0,28160,20,0,1408,a6c1,418,159,-64,2019-05-2617:00:31,2019-05-2617:00:31,90
46570,1,fd00::212:4b00:615:a5ab,2964889,2964893,0,28140,20,0,1407,a6c1,436,171,-60,2019-05-2617:00:23,2019-05-2617:00:23,90
46569,1,fd00::212:4b00:615:a5dd,2964681,2964685,0,28120,20,0,1406,a6c1,402,137,-54,2019-05-2617:00:21,2019-05-2617:00:21,90
46568,1,fd00::212:4b00:615:a6c1,2964597,2964630,0,28160,20,0,1408,a662,265,137,-64,2019-05-2617:00:20,2019-05-2617:00:20,90
46567,1,fd00::212:4b00:615:a6dd,2963865,2964240,0,28160,20,0,1408,a6c1,690,483,-86,2019-05-2617:00:17,2019-05-2617:00:17,90
46566,1,fd00::212:4b00:615:a699,2963661,2963669,0,28140,20,0,1407,a6c1,421,150,-62,2019-05-2617:00:11,2019-05-2617:00:11,90
46565,1,fd00::212:4b00:615:a5ab,2962896,2962900,0,28120,20,0,1406,a6c1,458,168,-60,2019-05-2617:00:03,2019-05-2617:00:03,90
46564,1,fd00::212:4b00:615:a5dd,2962655,2962659,0,28100,20,0,1405,a6c1,415,144,-54,2019-05-2617:00:01,2019-05-2617:00:01,90
46563,1,fd00::212:4b00:615:a6c1,2962598,2962600,0,28140,20,0,1407,a662,304,176,-65,2019-05-2617:00:00,2019-05-2617:00:00,90
46562,1,fd00::212:4b00:615:a6dd,2961837,2961933,0,28140,20,0,1407,a6c1,665,394,-86,2019-05-2616:59:54,2019-05-2616:59:54,89
46561,1,fd00::212:4b00:615:a699,2961672,2961678,0,28120,20,0,1406,a6c1,425,154,-62,2019-05-2616:59:51,2019-05-2616:59:51,89
46560,1,fd00::212:4b00:615:a5ab,2960907,2960915,0,28100,20,0,1405,a6c1,445,162,-61,2019-05-2616:59:44,2019-05-2616:59:44,89
46559,1,fd00::212:4b00:615:a5dd,2960658,2960662,0,28080,20,0,1404,a6c1,434,151,-54,2019-05-2616:59:41,2019-05-2616:59:41,89
46558,1,fd00::212:4b00:615:a6c1,2960601,2960603,0,28120,20,0,1406,a662,283,155,-65,2019-05-2616:59:40,2019-05-2616:59:40,89
46557,1,fd00::212:4b00:615:a6dd,2959838,2959846,0,28120,20,0,1406,a6c1,754,488,-86,2019-05-2616:59:33,2019-05-2616:59:33,89
46556,1,fd00::212:4b00:615:a699,2959683,2959687,0,28100,20,0,1405,a6c1,438,172,-62,2019-05-2616:59:31,2019-05-2616:59:31,89
46555,1,fd00::212:4b00:615:a5ab,2958918,2958922,0,28080,20,0,1404,a6c1,441,154,-61,2019-05-2616:59:24,2019-05-2616:59:24,89
46553,1,fd00::212:4b00:615:a6c1,2958612,2958616,0,28100,20,0,1405,a662,271,143,-65,2019-05-2616:59:21,2019-05-2616:59:21,89
46554,1,fd00::212:4b00:615:a5dd,2958663,2958669,0,28060,20,0,1403,a6c1,460,167,-54,2019-05-2616:59:21,2019-05-2616:59:21,89
46552,1,fd00::212:4b00:615:a6dd,2957847,2957853,0,28100,20,0,1405,a6c1,718,462,-85,2019-05-2616:59:13,2019-05-2616:59:13,89
46551,1,fd00::212:4b00:615:a699,2957655,2957659,0,28080,20,0,1404,a6c1,430,174,-62,2019-05-2616:59:11,2019-05-2616:59:11,89
46550,1,fd00::212:4b00:615:a5ab,2956896,2956943,0,28060,20,0,1403,a6c1,397,141,-61,2019-05-2616:59:04,2019-05-2616:59:04,89
46548,1,fd00::212:4b00:615:a6c1,2956623,2956625,0,28080,20,0,1404,a662,256,128,-66,2019-05-2616:59:01,2019-05-2616:59:01,89
46549,1,fd00::212:4b00:615:a5dd,2956674,2956725,0,28040,20,0,1402,a6c1,398,142,-54,2019-05-2616:59:01,2019-05-2616:59:01,89
46547,1,fd00::212:4b00:615:a6dd,2955858,2955913,0,28080,20,0,1404,a6c1,768,497,-85,2019-05-2616:58:54,2019-05-2616:58:54,89
46546,1,fd00::212:4b00:615:a699,2955656,2955660,0,28060,20,0,1403,a6c1,451,193,-62,2019-05-2616:58:51,2019-05-2616:58:51,89
46545,1,fd00::212:4b00:615:a5ab,2954899,2954903,0,28040,20,0,1402,a6c1,418,147,-61,2019-05-2616:58:44,2019-05-2616:58:44,89
46543,1,fd00::212:4b00:615:a6c1,2954634,2954636,0,28060,20,0,1403,a662,271,140,-66,2019-05-2616:58:41,2019-05-2616:58:41,89
46544,1,fd00::212:4b00:615:a5dd,2954685,2954689,0,28020,20,0,1401,a6c1,416,145,-54,2019-05-2616:58:41,2019-05-2616:58:41,89
46542,1,fd00::212:4b00:615:a6dd,2953869,2953881,0,28060,20,0,1403,a6c1,678,405,-85,2019-05-2616:58:33,2019-05-2616:58:33,89
46541,1,fd00::212:4b00:615:a699,2953665,2953673,0,28040,20,0,1402,a6c1,514,197,-62,2019-05-2616:58:31,2019-05-2616:58:31,89
46540,1,fd00::212:4b00:615:a5ab,2952900,2952904,0,28020,20,0,1401,a6c1,437,151,-61,2019-05-2616:58:24,2019-05-2616:58:24,89
46539,1,fd00::212:4b00:615:a5dd,2952696,2952710,0,28000,20,0,1400,a6c1,402,129,-54,2019-05-2616:58:22,2019-05-2616:58:22,89
