32795,1,fd00::212:4b00:615:a5dd,3113499,3113505,0,31300,20,0,1565,a6c1,444,152,-55,2019-03-2909:02:55,2019-03-2909:02:55,2,63
32794,1,fd00::212:4b00:615:a6dd,3113295,3113299,0,31260,20,0,1563,a6c1,508,216,-88,2019-03-2909:02:53,2019-03-2909:02:53,2,63
32793,1,fd00::212:4b00:615:a6c1,3113040,3113042,0,31180,20,0,1559,a662,299,171,-67,2019-03-2909:02:50,2019-03-2909:02:50,2,63
32792,1,fd00::212:4b00:615:a5ab,3112785,3112789,0,31120,20,0,1556,a6c1,488,181,-69,2019-03-2909:02:48,2019-03-2909:02:48,2,63
32791,1,fd00::212:4b00:615:a5dd,3111510,3111518,0,31280,20,0,1564,a6c1,451,163,-55,2019-03-2909:02:35,2019-03-2909:02:35,2,63
32790,1,fd00::212:4b00:615:a6dd,3111306,3111318,0,31240,20,0,1562,a6c1,503,224,-88,2019-03-2909:02:33,2019-03-2909:02:33,2,63
32789,1,fd00::212:4b00:615:a6c1,3111051,3111053,0,31160,20,0,1558,a662,283,155,-67,2019-03-2909:02:30,2019-03-2909:02:30,2,63
32788,1,fd00::212:4b00:615:a5ab,3110796,3110804,0,31100,20,0,1555,a6c1,459,180,-69,2019-03-2909:02:28,2019-03-2909:02:28,2,63
32787,1,fd00::212:4b00:615:a5dd,3109521,3109525,0,31260,20,0,1563,a6c1,431,156,-55,2019-03-2909:02:15,2019-03-2909:02:15,2,63
32786,1,fd00::212:4b00:615:a6dd,3109282,3109317,0,31220,20,0,1561,a6c1,485,236,-88,2019-03-2909:02:13,2019-03-2909:02:13,2,63
32785,1,fd00::212:4b00:615:a6c1,3109062,3109064,0,31140,20,0,1557,a662,272,144,-66,2019-03-2909:02:10,2019-03-2909:02:10,2,63
32784,1,fd00::212:4b00:615:a5ab,3108770,3108807,0,31080,20,0,1554,a6c1,444,188,-69,2019-03-2909:02:08,2019-03-2909:02:08,2,63
32783,1,fd00::212:4b00:615:a5dd,3107495,3107499,0,31240,20,0,1562,a6c1,433,176,-55,2019-03-2909:01:55,2019-03-2909:01:55,2,63
32782,1,fd00::212:4b00:615:a6dd,3107283,3107287,0,31200,20,0,1560,a6c1,508,243,-87,2019-03-2909:01:53,2019-03-2909:01:53,2,63
32781,1,fd00::212:4b00:615:a6c1,3107032,3107034,0,31120,20,0,1556,a662,260,132,-66,2019-03-2909:01:50,2019-03-2909:01:50,2,63
32780,1,fd00::212:4b00:615:a5ab,3106773,3106777,0,31060,20,0,1553,a6c1,451,186,-69,2019-03-2909:01:48,2019-03-2909:01:48,2,63
32779,1,fd00::212:4b00:615:a5dd,3105496,3105502,0,31220,20,0,1561,a6c1,470,178,-55,2019-03-2909:01:35,2019-03-2909:01:35,2,63
32778,1,fd00::212:4b00:615:a6dd,3105288,3105300,0,31180,20,0,1559,a6c1,587,295,-89,2019-03-2909:01:33,2019-03-2909:01:33,2,63
32777,1,fd00::212:4b00:615:a6c1,3105033,3105035,0,31100,20,0,1555,a662,299,171,-66,2019-03-2909:01:30,2019-03-2909:01:30,2,63
32776,1,fd00::212:4b00:615:a5ab,3104778,3104782,0,31040,20,0,1552,a6c1,498,183,-69,2019-03-2909:01:28,2019-03-2909:01:28,2,63
32775,1,fd00::212:4b00:615:a5dd,3103503,3103511,0,31200,20,0,1560,a6c1,443,172,-55,2019-03-2909:01:15,2019-03-2909:01:15,2,63
32774,1,fd00::212:4b00:615:a6dd,3103299,3103354,0,31160,20,0,1558,a6c1,499,235,-90,2019-03-2909:01:13,2019-03-2909:01:13,2,63
32773,1,fd00::212:4b00:615:a6c1,3103044,3103054,0,31080,20,0,1554,a662,266,138,-66,2019-03-2909:01:10,2019-03-2909:01:10,2,63
32772,1,fd00::212:4b00:615:a5ab,3102789,3102793,0,31020,20,0,1551,a6c1,459,188,-69,2019-03-2909:01:08,2019-03-2909:01:08,2,63
32771,1,fd00::212:4b00:615:a5dd,3101514,3101518,0,31180,20,0,1559,a6c1,454,190,-55,2019-03-2909:00:55,2019-03-2909:00:55,2,63
32770,1,fd00::212:4b00:615:a6dd,3101310,3101328,0,31140,20,0,1557,a6c1,473,209,-90,2019-03-2909:00:53,2019-03-2909:00:53,2,63
32769,1,fd00::212:4b00:615:a6c1,3101055,3101065,0,31060,20,0,1553,a662,264,136,-66,2019-03-2909:00:51,2019-03-2909:00:51,2,63
32768,1,fd00::212:4b00:615:a5ab,3100800,3100808,0,31000,20,0,1550,a6c1,442,176,-69,2019-03-2909:00:48,2019-03-2909:00:48,2,63
32767,1,fd00::212:4b00:615:a5dd,3099525,3099529,0,31160,20,0,1558,a6c1,497,214,-55,2019-03-2909:00:35,2019-03-2909:00:35,2,63
32766,1,fd00::212:4b00:615:a6dd,3099321,3099325,0,31120,20,0,1556,a6c1,498,215,-90,2019-03-2909:00:33,2019-03-2909:00:33,2,63
32765,1,fd00::212:4b00:615:a6c1,3099066,3099074,0,31040,20,0,1552,a662,279,151,-66,2019-03-2909:00:31,2019-03-2909:00:31,2,63
32764,1,fd00::212:4b00:615:a5ab,3098811,3098819,0,30980,20,0,1549,a6c1,445,155,-69,2019-03-2909:00:28,2019-03-2909:00:28,2,63
32763,1,fd00::212:4b00:615:a5dd,3097536,3097540,0,31140,20,0,1557,a6c1,408,141,-55,2019-03-2909:00:15,2019-03-2909:00:15,2,63
